algorithm,case,bitstring,n_features,accuracy,second_objective
nsga2,breast-w,111001111,7,0.970122,0.221558
nsga2,credit-a,001110001110111,9,0.891263,0.335393
nsga2,letter-r,0000011111111111,11,0.956333,0.386006
nsga2,triangle,0001110000000100,4,4,4
pso,pso-breast-w,010001000,2,0.95564,0.0887217
pso,pso-credit-a,000000101000000,2,0.871173,0.0524994
pso,pso-letter-r,0000000111111111,9,0.947344,0.276575
pso,pso-triangle,1011100000000000,4,4,4
sga,triangle,0100001100000100,4,4,3.975
sga,breast,010001000,2,0.95564,0.933418
sga,credit,000000101000000,2,0.871173,0.85784
sga,letter,0000000111111111,9,0.947344,0.891094
