generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,15647,0011110100011111,10,0.8861197941,0.028983803,151,0
0,42348,1010010101101100,8,0.8048958331,0.02801186696,339,0
0,10278,0010100000100110,5,0.5502968691,0.01214754232,493,0
0,17258,0100001101101010,7,0.8347447924,0.01401489717,258,0
0,16991,0100001001011111,8,0.8612343743,0.02151083024,191,0
0,29231,0111001000101111,9,0.796661457,0.02790373156,370,0
0,16422,0100000000100110,4,0.4709427077,0.02857758675,502,0
0,2871,0000101100110111,8,0.8642395884,0.01362304497,174,0
0,53911,1101001010010111,9,0.8341822904,0.08250426757,291,0
0,51116,1100011110101100,9,0.837166667,0.0204110402,283,0
0,44151,1010110001110111,10,0.8657552116,0.03223952954,214,0
0,41844,1010001101110100,8,0.8026302122,0.08092406183,344,0
0,3924,0000111101010100,7,0.7875625025,0.02061531338,364,0
0,37469,1001001001011101,8,0.7896718755,0.08217202034,373,0
0,61812,1111000101110100,9,0.7747604158,0.03727884055,405,0
0,14175,0011011101011111,11,0.9156093821,0.03314034513,60,0
0,1779,0000011011110011,8,0.8915885389,0.02176244053,83,0
0,4985,0001001101111001,8,0.8672656231,0.01279275087,164,0
0,25626,0110010000011010,6,0.6821354162,0.07382521126,451,0
0,21341,0101001101011101,9,0.8683906291,0.02935033134,186,0
0,35451,1000101001111011,9,0.8798802104,0.04305687512,150,0
0,62254,1111001100101110,10,0.8237343784,0.08015427529,327,0
0,60767,1110110101011111,12,0.9125677124,0.07573782466,96,0
0,50613,1100010110110101,9,0.8494062535,0.03078529786,249,0
0,14718,0011100101111110,10,0.8968177103,0.08155497769,111,0
0,11797,0010111000010101,7,0.6702447888,0.03064328426,457,0
0,3419,0000110101011011,8,0.8849218711,0.03837889992,106,0
0,5263,0001010010001111,7,0.8152760379,0.01333031303,305,0
0,56171,1101101101101011,11,0.8826562483,0.0317696727,175,0
0,47955,1011101101010011,10,0.869052086,0.03136525035,205,0
0,997,0000001111100101,7,0.8437291645,0.08445721143,227,0
0,33645,1000001101101101,8,0.8495052066,0.01597277212,230,0
0,1949,0000011110011101,8,0.8870781269,0.02241869742,99,0
0,37219,1001000101100011,7,0.7780312467,0.01531319538,383,0
0,41879,1010001110010111,9,0.8921822868,0.03409696033,105,0
0,8487,0010000100100111,6,0.7511562444,0.01358507382,407,0
0,17214,0100001100111110,8,0.8741770834,0.02974527812,148,0
0,35235,1000100110100011,7,0.8385729194,0.0127785395,244,0
0,39610,1001101010111010,9,0.865020832,0.0175995513,194,0
0,12139,0010111101101011,10,0.899901038,0.04044115718,98,0
0,1614,0000011001001110,6,0.794036461,0.01351750203,337,0
0,660,0000001010010100,4,0.5851822905,0.03088887146,483,0
0,13418,0011010001101010,7,0.7418489549,0.02158155115,418,0
0,28522,0110111101101010,10,0.8710208368,0.03810612042,195,0
0,8491,0010000100101011,6,0.7845052071,0.01434921045,354,0
0,1169,0000010010010001,4,0.5133072874,0.02659463749,499,0
0,26042,0110010110111010,9,0.89642708,0.04567966628,87,0
0,50893,1100011011001101,9,0.8243437521,0.04405396036,311,0
0,41699,1010001011100011,8,0.845614586,0.08614877751,240,0
0,46079,1011001111111111,13,0.9421822876,0.3497647094,24,0
0,45246,1011000010111110,9,0.8569739647,0.08140070923,224,0
0,6951,0001101100100111,8,0.8161458336,0.02777011902,317,0
0,17983,0100011000111111,9,0.8674947955,0.2889039088,190,0
0,37590,1001001011010110,8,0.8405520841,0.03334783437,260,0
0,34681,1000011101111001,9,0.8879947886,0.01391532418,125,0
0,41699,1010001011100011,8,0.845614586,0.08614877751,239,0
0,11738,0010110111011010,9,0.9043802023,0.0871041182,53,0
0,34158,1000010101101110,8,0.869161455,0.08250362775,157,0
0,49935,1100001100001111,8,0.8225364592,0.03110171942,302,0
0,305,0000000100110001,4,0.6179843806,0.07946468773,474,0
0,14681,0011100101011001,8,0.7939166706,0.03492512053,363,0
0,52388,1100110010100100,7,0.6646718755,0.02787287146,462,0
0,21467,0101001111011011,10,0.923723964,0.083718448,23,0
0,7868,0001111010111100,9,0.8361718748,0.07639268017,287,0
0,59198,1110011100111110,11,0.8890937511,0.02698758984,156,0
0,22336,0101011101000000,6,0.6145677064,0.07543041161,478,0
0,27646,0110101111111110,12,0.9331614617,0.02926702902,29,0
0,19326,0100101101111110,10,0.9096770827,0.02832859743,58,0
0,759,0000001011110111,8,0.8965468761,0.02888044709,61,0
0,54115,1101001101100011,9,0.8234322909,0.01979974002,314,0
0,55476,1101100010110100,8,0.7346718721,0.01508553574,426,0
0,33585,1000001100110001,6,0.7235208321,0.01718091118,424,0
0,49749,1100001001010101,7,0.6951927077,0.07642417122,446,0
0,35743,1000101110011111,10,0.9250208326,0.01660777305,19,0
0,48211,1011110001010011,9,0.7783177085,0.08033351973,400,0
0,14403,0011100001000011,6,0.579427084,0.01348127276,490,0
0,6010,0001011101111010,9,0.8964843806,0.03030164388,86,0
0,9059,0010001101100011,7,0.8294166699,0.01333583373,272,0
0,45887,1011001100111111,11,0.9022135399,0.08088265732,116,0
0,1669,0000011010000101,5,0.6310104132,0.07430231711,472,0
0,37242,1001000101111010,8,0.8684218712,0.01438547092,158,0
0,12143,0010111101101111,11,0.9148489553,0.08580623777,63,0
0,2868,0000101100110100,6,0.7143177111,0.01219829603,431,0
0,2827,0000101100001011,6,0.7732447851,0.02911227779,380,0
0,60240,1110101101010000,8,0.7442447934,0.06179392262,420,0
0,380,0000000101111100,6,0.8286666665,0.08212518669,256,0
0,4969,0001001101101001,7,0.8152187523,0.07900511147,306,0
0,21847,0101010101010111,9,0.8633177038,0.0291212204,204,0
0,31031,0111100100110111,10,0.8646718748,0.0144211709,217,0
0,887,0000001101110111,8,0.8987708297,0.03459854503,51,0
0,9027,0010001101000011,6,0.7630885392,0.08416695986,396,0
0,25218,0110001010000010,5,0.6068229135,0.02033755655,479,0
0,63535,1111100000101111,10,0.7860156223,0.01697434823,397,0
0,12619,0011000101001011,7,0.7850156296,0.03447852802,368,0
0,12656,0011000101110000,6,0.7091666665,0.09576688241,436,0
0,4443,0001000101011011,7,0.8514270801,0.01288074325,200,0
0,50155,1100001111101011,10,0.9130781293,0.08003126108,43,0
0,1817,0000011100011001,6,0.7893749997,0.02944142098,345,0
0,7087,0001101110101111,10,0.9104583338,0.02945013036,55,0
0,20393,0100111110101001,9,0.8723072987,0.07882092288,168,0
0,2429,0000100101111101,8,0.8848541621,0.02016039644,107,0
0,43532,1010101000001100,6,0.5655624922,0.1003306219,492,0
0,20741,0101000100000101,5,0.4754531262,0.03119209918,503,0
0,17199,0100001100101111,8,0.859239582,0.01405478251,193,0
0,1007,0000001111101111,9,0.93357292,0.04414480412,1,0
0,64107,1111101001101011,11,0.8330312539,0.07740314188,322,0
0,27839,0110110010111111,11,0.9063125029,0.03415099974,97,0
0,22389,0101011101110101,10,0.8545312453,0.04239223729,252,0
0,4457,0001000101101001,6,0.7755052093,0.07867742283,375,0
0,63440,1111011111010000,10,0.8199374955,0.0835021981,334,0
0,41022,1010000000111110,7,0.7903802078,0.01259544,356,0
0,4732,0001001001111100,7,0.7701041661,0.01715413184,395,0
0,17979,0100011000111011,8,0.8462031242,0.0421959568,237,0
0,7999,0001111100111111,11,0.9164687525,0.03347517981,56,0
0,37355,1001000111101011,9,0.9015833326,0.03091418883,65,0
0,19330,0100101110000010,6,0.7663437501,0.01948227533,392,0
